file,filled_ratio,n_tumor,n_lymph,immune subtype
TCGA-EE-A2MS-06A-01-TSA_patch=1,0.82653194,4785,3348,D
TCGA-EE-A2MU-06A-02-TSB_patch=1,0.83670139,513,7806,IE
TCGA-EE-A3AA-06A-01-TSA_patch=1,0.94091667,222,9143,IE
TCGA-EE-A3AC-06A-01-TSA_patch=1,0.92804514,8875,386,IE
TCGA-EE-A3AC-06A-01-TSA_patch=2,0.93282917,8351,967,IE
TCGA-EE-A3AE-06A-01-TSA_patch=1,0.88977083,2767,6096,IE
TCGA-EE-A3AE-06A-01-TSA_patch=2,0.88323681,4138,4596,IE
TCGA-EE-A3AF-06A-01-TSA_patch=1,0.91039028,5434,3615,IE
TCGA-EE-A3AH-06A-01-TS1_patch=1,0.96769653,7293,2302,D
TCGA-EE-A3AH-06A-01-TS1_patch=2,0.98803056,8024,1818,D
TCGA-EE-A3J4-06A-01-TS1_patch=1,0.82815764,6445,1800,IE
TCGA-EE-A3J4-06A-01-TS1_patch=2,0.90116458,8260,766,IE
TCGA-EE-A3J7-06A-01-TSA_patch=1,0.840325,8200,220,D
TCGA-EE-A3J7-06A-01-TSA_patch=2,0.96131944,8530,1082,D
TCGA-EE-A3J7-06A-01-TSA_patch=3,0.82700347,5415,2854,D
TCGA-EE-A3J7-06A-01-TSA_patch=4,1,8713,1287,D
TCGA-EE-A3J8-06A-01-TSA_patch=1,0.83184375,7082,1291,D
TCGA-EE-A3JD-06A-01-TSA_patch=1,0.80440556,196,7844,IE
TCGA-EE-A3JI-06A-01-TS1_patch=1,0.81285347,3850,4185,D
TCGA-EE-A3JI-06A-01-TS1_patch=2,0.85228611,3507,4976,D
TCGA-ER-A194-01A-01-TSA_patch=1,0.90911597,8977,130,IE
TCGA-ER-A198-06A-01-TSA_patch=1,0.98249236,7420,2376,D
TCGA-ER-A199-06A-01-TSA_patch=1,0.94787847,396,9071,IE
TCGA-ER-A19F-06A-01-TSA_patch=1,0.89249514,5971,2904,D
TCGA-ER-A19G-06A-01-TSA_patch=1,0.95945764,6551,3007,IE
TCGA-ER-A19G-06A-01-TSA_patch=2,0.88080139,1303,7434,IE
TCGA-ER-A19H-06A-01-TSA_patch=1,0.80161389,7269,735,D
TCGA-ER-A19H-06A-01-TSA_patch=2,0.86840139,8035,627,D
TCGA-ER-A19H-06A-01-TSA_patch=3,1,9664,336,D
TCGA-ER-A19P-06A-01-TSA_patch=1,1,135,9865,IE
TCGA-ER-A19P-06A-01-TSA_patch=2,0.9551625,912,8632,IE
TCGA-ER-A2NG-06A-01-TSA_patch=1,0.81570278,2570,5562,IE
TCGA-ER-A2NG-06A-01-TSA_patch=2,0.85052778,2080,6413,IE
