sample,area (training),area (reconstruction),perimeter (training),perimeter (reconstruction),complexity (training),complexity (reconstruction)
377,260.5,167.0,65.69848418235779,51.45584428310394,1.3185393866399835,1.2616621714413643
378,749.0,588.0,106.9116872549057,93.25483298301697,1.214391406547471,1.1769432083988711
379,764.5,568.0,109.49747371673584,89.94112491607666,1.2480179882214517,1.1333353378570337
380,327.0,191.0,71.25483274459839,52.28427064418793,1.235580465018156,1.1389348364714813
381,574.5,413.0,93.01219260692596,79.5979790687561,1.1983394795498272,1.220799006770675
382,459.0,244.0,83.94112479686737,62.14213538169861,1.2215943607407846,1.2594260012137322
383,732.0,538.5,108.42640602588654,88.3847758769989,1.2780539299829365,1.154408081300805
384,282.0,156.0,66.28427076339722,48.97056221961975,1.239829578412522,1.2233077237019243
385,692.0,490.0,104.08326005935669,85.59797930717468,1.2457927946413443,1.1899290877418514
386,680.0,492.5,100.08326017856598,83.69848442077637,1.1722064617781418,1.1319287459479963
387,204.5,90.0,54.870057106018066,36.485281229019165,1.171568396773397,1.1770177786518639
388,481.0,306.0,85.59797883033752,68.28427052497864,1.212193859661937,1.2125790427774739
389,17.5,333.0,21.071067571640015,72.42640674114227,2.018948155853765,1.2535445730039396
390,419.0,246.5,81.59797883033752,58.52691113948822,1.2645468263580726,1.1058199493711605
391,523.5,382.0,91.01219260692596,73.94112479686737,1.2591358938780213,1.138934841187078
392,816.5,597.0,111.49747359752655,93.25483298301697,1.2116132126910681,1.1592003459606974
393,422.5,258.5,79.84061980247498,62.041630029678345,1.2006356156766882,1.1849389836958477
394,5.0,283.0,12.828427076339722,63.59797942638397,2.619189681783205,1.1373400596086665
395,524.5,359.5,90.66904628276825,74.66904664039612,1.247276496279152,1.234162806239005
396,347.5,191.5,72.52691125869751,54.041629910469055,1.2045745734777753,1.2136074551717182
397,454.0,252.0,83.25483298301697,61.59797966480255,1.214935412617992,1.19818128373044
398,718.5,533.5,103.8406194448471,89.3553386926651,1.19425729791158,1.1909587590421948
399,756.0,540.5,106.08326005935669,88.18376517295837,1.184573616985616,1.1449109618704931
400,398.5,199.0,80.66904640197754,54.627416491508484,1.2994981228863725,1.1933240219065315
401,4.0,57.0,8.0,30.485281229019165,1.2732395447351628,1.2974651211955055
402,691.5,499.0,101.01219236850739,86.62741649150848,1.174209381224903,1.1967414004755026
403,546.0,429.0,91.25483310222626,80.42640674114227,1.21369410784462,1.1998588954199259
404,650.0,465.0,98.42640602588654,81.94112467765808,1.1860419063000267,1.1490555484544633
405,335.5,179.0,72.18376576900482,53.79898929595947,1.2358810742494366,1.286723813592586
406,614.0,412.0,94.08326017856598,75.59797942638397,1.1472193966054796,1.1038582192433426
407,573.0,420.0,92.0832599401474,77.25483465194702,1.1775975289154694,1.1308166133126407
408,471.5,337.5,85.84061968326569,73.84061968326569,1.2436384109797025,1.2856034352343348
409,433.5,259.0,80.32590091228485,61.94112467765808,1.1844377606019796,1.1788228492298574
410,30.5,3.0,25.071067690849304,6.828427076339722,1.6399701963554911,1.2368306322699583
411,492.5,354.0,86.66904664039612,71.59797978401184,1.2137016429865557,1.1523606256902537
412,608.0,440.0,94.08325970172882,78.76955199241638,1.1585406289073892,1.1221585176340974
413,720.5,539.0,105.0121922492981,88.76955199241638,1.217967222180951,1.163400984342985
414,238.0,112.0,61.94112515449524,41.79898941516876,1.282836649795405,1.2413769497422507
415,223.5,91.0,62.0416305065155,37.79898953437805,1.3704999194352459,1.2494219286410795
416,457.0,268.0,83.5979790687561,66.62741696834564,1.2169297082203392,1.318139259977599
417,682.0,485.0,102.42640614509583,83.11269783973694,1.2241358897100028,1.1333998657613031
418,393.0,221.0,79.59797883033752,56.97056233882904,1.2829261750023004,1.168688780557749
419,639.5,470.5,98.66904652118683,84.52691113948822,1.2114666136544878,1.208427238662153
420,717.5,529.0,104.18376541137695,86.62741661071777,1.2038387813292943,1.1288732712303136
421,357.0,180.0,73.94112491607666,54.62741684913635,1.2186921869364988,1.3192860192705353
422,572.0,391.5,91.59797930717468,77.35533845424652,1.167255404058827,1.2162950824553844
423,477.5,312.5,83.497474193573,67.01219248771667,1.1618857799929598,1.1435305431796179
424,693.0,518.0,104.08326005935669,86.4264063835144,1.2439951138409961,1.14750156625366
425,439.5,299.5,87.01219236850739,71.01219236850739,1.3708548699614629,1.339859164168454
426,567.5,413.0,92.66904675960541,77.25483417510986,1.2041862432070585,1.1499829823931313
427,276.0,165.0,65.11269795894623,48.97056233882904,1.2223974507331006,1.1565818534945838
428,413.5,266.5,80.52691113948822,62.041630029678345,1.2479486152520494,1.14936858268434
