sample,neighbor_cell_type,mean (training),mean (reconstruction)
169,lymphocyte,0.029940119760479042,0.4896551724137931
170,tumor,7.489010989010989,7.400793650793651
170,lymphocyte,0.09065934065934066,0.13293650793650794
171,tumor,7.14375,6.95483870967742
171,lymphocyte,0.1,0.14838709677419354
172,tumor,7.583138173302108,7.476190476190476
172,lymphocyte,0.0117096018735363,0.09863945578231292
173,tumor,7.22543352601156,7.03125
173,lymphocyte,0.17341040462427745,0.17708333333333334
174,tumor,7.264197530864197,7.135802469135802
174,lymphocyte,0.1654320987654321,0.102880658436214
175,tumor,7.2154696132596685,7.055045871559633
175,lymphocyte,0.16298342541436464,0.1834862385321101
176,tumor,7.592941176470588,7.4352159468438535
176,lymphocyte,0.02823529411764706,0.1461794019933555
177,tumor,7.485420240137222,7.297872340425532
177,lymphocyte,0.036020583190394515,0.14361702127659576
178,tumor,7.388,7.1655629139072845
178,lymphocyte,0.096,0.22185430463576158
179,tumor,7.627049180327869,7.533619456366237
179,lymphocyte,0.00819672131147541,0.03719599427753934
180,tumor,7.575903614457832,7.351158645276293
180,lymphocyte,0.008433734939759036,0.2192513368983957
181,tumor,7.601398601398602,7.442953020134228
181,lymphocyte,0.023310023310023312,0.13758389261744966
182,tumor,5.98936170212766,6.578947368421052
182,lymphocyte,1.0797872340425532,0.3026315789473684
183,tumor,7.552631578947368,7.359026369168357
183,lymphocyte,0.023391812865497075,0.11156186612576065
184,tumor,7.447688564476886,7.464098073555166
184,lymphocyte,0.170316301703163,0.1646234676007005
185,tumor,7.184971098265896,6.910891089108911
185,lymphocyte,0.1907514450867052,0.3811881188118812
186,tumor,7.434272300469484,7.480263157894737
186,lymphocyte,0.19014084507042253,0.029605263157894735
187,tumor,7.53810623556582,7.483870967741935
187,lymphocyte,0.10046189376443418,0.10967741935483871
188,tumor,7.594420600858369,7.461077844311378
188,lymphocyte,0.046137339055793994,0.13023952095808383
189,tumor,7.527599486521181,7.4434137291280145
189,lymphocyte,0.07060333761232349,0.08348794063079777
190,tumor,7.524630541871921,7.489726027397261
190,lymphocyte,0.07635467980295567,0.05136986301369863
191,tumor,7.429245283018868,7.191666666666666
191,lymphocyte,0.0,0.1
192,tumor,7.5794504181600955,7.434856175972927
192,lymphocyte,0.022700119474313024,0.12690355329949238
193,tumor,7.506451612903226,7.323671497584541
193,lymphocyte,0.041935483870967745,0.17632850241545894
194,tumor,7.294797687861272,7.0625
194,lymphocyte,0.0838150289017341,0.08333333333333333
195,tumor,7.135294117647059,7.02970297029703
195,lymphocyte,0.12352941176470589,0.3217821782178218
196,tumor,7.514925373134329,7.392265193370166
196,lymphocyte,0.017412935323383085,0.143646408839779
197,tumor,6.883211678832117,6.714285714285714
197,lymphocyte,0.19708029197080293,0.35714285714285715
198,tumor,7.237837837837838,7.165957446808511
198,lymphocyte,0.12972972972972974,0.03404255319148936
199,tumor,7.534814814814815,7.265486725663717
199,lymphocyte,0.0,0.34292035398230086
200,tumor,7.276887871853547,7.1796875
200,lymphocyte,0.14645308924485126,0.20703125
201,tumor,7.329758713136729,7.082125603864735
201,lymphocyte,0.04289544235924933,0.24154589371980675
202,tumor,7.461111111111111,7.409181636726547
202,lymphocyte,0.11944444444444445,0.16167664670658682
203,tumor,7.438356164383562,7.137096774193548
203,lymphocyte,0.0228310502283105,0.2056451612903226
204,tumor,7.458715596330276,7.302222222222222
204,lymphocyte,0.10091743119266056,0.2866666666666667
205,tumor,7.517571884984026,7.271461716937355
205,lymphocyte,0.06389776357827476,0.22505800464037123
206,tumor,7.520833333333333,7.440251572327044
206,lymphocyte,0.11921296296296297,0.14150943396226415
207,tumor,7.506944444444445,7.264550264550264
207,lymphocyte,0.034722222222222224,0.15343915343915343
208,tumor,7.366218236173393,7.379775280898876
208,lymphocyte,0.03886397608370702,0.058426966292134834
209,tumor,7.5911330049261085,7.429590017825312
209,lymphocyte,0.008620689655172414,0.1586452762923351
210,tumor,7.584562996594778,7.492260061919505
210,lymphocyte,0.03859250851305335,0.09442724458204334
211,tumor,7.470370370370371,7.27065527065527
211,lymphocyte,0.02962962962962963,0.05982905982905983
212,tumor,7.4278606965174125,7.472027972027972
212,lymphocyte,0.22388059701492538,0.1346153846153846
213,tumor,7.562273276904474,7.423611111111111
213,lymphocyte,0.013301088270858524,0.057291666666666664
214,tumor,7.203821656050955,7.0625
214,lymphocyte,0.14012738853503184,0.15104166666666666
215,tumor,7.535836177474403,7.494214876033058
215,lymphocyte,0.08646188850967008,0.09090909090909091
216,tumor,7.4225053078556265,7.206896551724138
216,lymphocyte,0.04246284501061571,0.11379310344827587
217,tumor,7.478537360890302,7.290617848970252
217,lymphocyte,0.0492845786963434,0.28604118993135014
218,tumor,7.306306306306307,7.364035087719298
218,lymphocyte,0.24924924924924924,0.12938596491228072
219,tumor,7.564356435643564,7.36144578313253
219,lymphocyte,0.011315417256011316,0.15261044176706828
220,tumor,7.449392712550607,7.380116959064328
220,lymphocyte,0.14304993252361672,0.11695906432748537
221,tumor,7.32378223495702,7.055276381909548
221,lymphocyte,0.0659025787965616,0.18592964824120603
222,tumor,7.49748743718593,7.28921568627451
222,lymphocyte,0.05527638190954774,0.17401960784313725
223,tumor,7.486437613019891,7.304843304843305
223,lymphocyte,0.05244122965641953,0.09686609686609686
224,tumor,7.377245508982036,7.191637630662021
224,lymphocyte,0.041916167664670656,0.07665505226480836
225,tumor,7.544072948328267,7.333333333333333
225,lymphocyte,0.04559270516717325,0.18064516129032257
226,tumor,7.569364161849711,7.364754098360656
226,lymphocyte,0.005780346820809248,0.13934426229508196
227,tumor,7.510869565217392,7.27810650887574
227,lymphocyte,0.028985507246376812,0.21301775147928995
228,tumor,7.496503496503497,7.417348608837971
228,lymphocyte,0.02097902097902098,0.14566284779050737
229,tumor,7.168674698795181,7.035294117647059
229,lymphocyte,0.1897590361445783,0.27647058823529413
230,tumor,7.207161125319693,7.15
230,lymphocyte,0.11253196930946291,0.03333333333333333
231,tumor,7.102739726027397,6.825
231,lymphocyte,0.20205479452054795,0.23125
232,tumor,7.576047904191617,7.4520547945205475
232,lymphocyte,0.016766467065868262,0.0821917808219178
233,tumor,7.433212996389892,7.230283911671925
233,lymphocyte,0.0776173285198556,0.2555205047318612
234,tumor,7.509036144578313,7.217194570135747
234,lymphocyte,0.046686746987951805,0.3778280542986425
235,tumor,7.473684210526316,7.426853707414829
235,lymphocyte,0.10964912280701754,0.12424849699398798
236,tumor,7.573509933774835,7.429643527204503
236,lymphocyte,0.02119205298013245,0.10694183864915573
237,tumor,7.4502762430939224,7.449056603773585
237,lymphocyte,0.12154696132596685,0.1
238,tumor,7.407821229050279,7.142857142857143
238,lymphocyte,0.1303538175046555,0.27976190476190477
239,tumor,7.568521031207599,7.391304347826087
239,lymphocyte,0.014925373134328358,0.15217391304347827
240,tumor,7.432098765432099,7.176811594202898
240,lymphocyte,0.08994708994708994,0.4057971014492754
241,tumor,7.468253968253968,7.43984962406015
